cluster,y_k=2,s_k=2
0,-1.0,-0.263274363532557
0,-1.0,-0.29742039850886465
0,-1.0,-0.3819445456392202
0,-1.0,-0.2764677006522526
0,-1.0,-0.33400601526819473
0,-1.0,-0.10866137962890579
0,-1.0,-0.12290717342323292
0,-1.0,-0.45163504602385846
0,-1.0,-0.29908097762885666
0,-1.0,-0.2946649342416328
0,-1.0,-0.1408694048394997
0,1.0,0.1513170102279736
0,-1.0,-0.39406008849074964
0,-1.0,-0.284329587405078
0,-1.0,-0.35688868655644507
0,1.0,0.36845870088692756
0,1.0,0.601026982673844
0,-1.0,-0.27605630222038174
0,-1.0,-0.3043158850541142
0,-1.0,-0.3734003588332965
0,-1.0,-0.29225804889183254
0,1.0,0.5406826834163454
0,-1.0,-0.4048691755912917
0,-1.0,-0.3529116387083533
0,-1.0,-0.3738593989549438
0,0.0,0.39251637770412057
0,0.0,0.394943733327477
0,-1.0,-0.29289273248438796
0,1.0,0.5508423647687977
0,-1.0,-0.438319543541148
0,1.0,0.4885958387536791
0,-1.0,-0.23219619182119372
0,1.0,0.47540079072596375
0,1.0,0.5495417969137051
0,-1.0,-0.4083364367738461
0,-1.0,-0.3327800948113404
0,1.0,0.5478115047857244
0,-1.0,-0.4990290267756592
0,1.0,0.45136972908418976
0,-1.0,-0.20803024951967597
0,-1.0,-0.5525763085379687
0,-1.0,-0.2338225498681353
0,-1.0,-0.2495298622216916
0,1.0,0.5865573326131225
0,0.0,0.3164767735106872
0,-1.0,-0.5212893340947973
0,-1.0,-0.17554002483116435
0,-1.0,-0.3232014915311726
0,1.0,0.49565287008068337
0,0.0,0.5780209719078933
0,-1.0,-0.11603405324416254
0,-1.0,-0.3917032047885178
0,-1.0,-0.20718980258415218
0,-1.0,-0.3136181666161493
0,-1.0,-0.4270245143942059
0,-1.0,-0.19032441093587255
0,1.0,0.594293381281772
0,-1.0,-0.39862975495295694
0,-1.0,-0.30965612857027464
0,1.0,0.12636907002960396
0,-1.0,-0.24580640468694406
0,1.0,0.5897498588197798
0,-1.0,-0.3481159660173391
0,1.0,0.5086224710861817
0,-1.0,-0.26629845009196057
0,1.0,0.19104963333600192
