cluster,y_k=2,s_k=2
0,-1.0,-0.378070145224807
0,0.0,0.45157190276910986
0,-1.0,-0.2521979613196769
0,-1.0,-0.19487934863045817
0,-1.0,-0.3450604526187089
0,-1.0,-0.16443771319135403
0,-1.0,-0.3406938493721572
0,-1.0,-0.053439787075311045
0,-1.0,-0.2449213012806531
0,-1.0,-0.2837098827696454
0,-1.0,-0.3541802269068955
0,-1.0,-0.2547060077895076
0,-1.0,-0.10769872844691956
0,0.0,0.34363058003656904
0,-1.0,-0.24858641589922098
0,-1.0,-0.37290777886415066
0,-1.0,-0.17056502348673253
0,-1.0,-0.20591916327178056
0,-1.0,-0.18118717549382296
0,-1.0,-0.1207202295042607
0,-1.0,-0.43879663178378303
0,-1.0,-0.13828317623679315
0,-1.0,-0.21913750661682194
0,0.0,0.42271447830142916
0,-1.0,-0.1953781918863846
0,-1.0,-0.48352384838578166
0,-1.0,-0.09349827965577201
0,-1.0,-0.10529817940662484
0,-1.0,-0.21134642907714038
0,-1.0,-0.2240165798421759
0,-1.0,-0.16604231477921333
0,0.0,0.4547821535274545
0,-1.0,-0.20904696615857307
0,-1.0,-0.16912476083803582
0,-1.0,-0.18555905224284022
0,-1.0,-0.18380888123000796
0,0.0,0.40428081675395156
0,-1.0,-0.24270131697461447
0,-1.0,-0.27907221922840914
0,-1.0,-0.48938530979438283
0,0.0,0.37587736481970296
0,0.0,0.4649632591395362
0,-1.0,-0.2729205191977703
0,-1.0,-0.23529051294746103
0,-1.0,-0.3791920119287568
0,0.0,0.4676450371531376
0,-1.0,-0.1324949080079897
0,-1.0,-0.26262698208158636
0,-1.0,-0.2944198476445152
0,-1.0,-0.16134019008476413
0,-1.0,-0.270609932514544
0,-1.0,-0.08487518489402049
0,-1.0,-0.11285485597811458
0,0.0,0.36659548805503456
0,-1.0,-0.14207399480483607
0,-1.0,-0.22062457800732213
0,-1.0,-0.1920675721312699
0,0.0,0.4446565570050589
0,-1.0,-0.31175466347974445
0,-1.0,-0.15893987405755633
0,0.0,0.4142124051107481
0,-1.0,-0.2616481008039884
0,-1.0,-0.3326752991922638
0,0.0,0.5017119707245761
0,-1.0,-0.15263871010923208
0,0.0,0.40649851615490534
0,-1.0,-0.22191380455362278
0,-1.0,-0.2583616665867515
0,-1.0,-0.33478572021824005
0,-1.0,-0.48144932734507695
0,-1.0,-0.15695841523767387
0,-1.0,-0.07916344795040368
0,-1.0,-0.2696277552283067
0,-1.0,-0.2790202888025574
0,0.0,0.4921376139087398
